nome_norm,uf,lat,lon,nome
barrolandia,TO,-9.854,-48.8115,Barrolândia
bernardo sayao,TO,-8.0061,-48.9299,Bernardo Sayão
bom jesus do tocantins,TO,-8.9982,-47.8663,Bom Jesus Do Tocantins
brasilandia do tocantins,TO,-8.2581,-48.4538,Brasilândia Do Tocantins
brejinho de nazare,TO,-11.0101,-48.6139,Brejinho De Nazaré
buriti do tocantins,TO,-5.343,-48.1439,Buriti Do Tocantins
cachoeirinha,TO,-6.0927,-47.8575,Cachoeirinha
campos lindos,TO,-8.212,-46.8558,Campos Lindos
cariri do tocantins,TO,-11.9359,-49.2079,Cariri Do Tocantins
carmolandia,TO,-7.0492,-48.3723,Carmolândia
carrasco bonito,TO,-5.315,-48.0228,Carrasco Bonito
caseara,TO,-9.4262,-49.8318,Caseara
centenario,TO,-9.0968,-47.4321,Centenário
chapada de areia,TO,-10.1817,-49.1729,Chapada De Areia
chapada da natividade,TO,-11.5135,-47.8637,Chapada Da Natividade
colinas do tocantins,TO,-8.109,-48.5358,Colinas Do Tocantins
combinado,TO,-12.8403,-46.5315,Combinado
conceicao do tocantins,TO,-12.1938,-47.3512,Conceição Do Tocantins
couto magalhaes,TO,-8.4083,-49.1424,Couto Magalhães
cristalandia,TO,-10.6399,-49.3133,Cristalândia
crixas do tocantins,TO,-11.1659,-49.0594,Crixás Do Tocantins
darcinopolis,TO,-6.743,-47.7803,Darcinópolis
dianopolis,TO,-11.7272,-46.7807,Dianópolis
divinopolis do tocantins,TO,-9.6725,-49.3938,Divinópolis Do Tocantins
dois irmaos do tocantins,TO,-9.3512,-49.0328,Dois Irmãos Do Tocantins
duere,TO,-11.3339,-49.4786,Dueré
esperantina,TO,-5.3062,-48.5443,Esperantina
fatima,TO,-10.8014,-48.8645,Fátima
figueiropolis,TO,-12.2689,-49.3162,Figueirópolis
filadelfia,TO,-7.4637,-47.8037,Filadélfia
formoso do araguaia,TO,-12.2645,-50.2158,Formoso Do Araguaia
tabocao,TO,-9.0682,-48.5624,Tabocão
goianorte,TO,-8.8767,-48.9958,Goianorte
goiatins,TO,-8.0055,-47.5124,Goiatins
guarai,TO,-8.7465,-48.4732,Guaraí
gurupi,TO,-11.6379,-48.8752,Gurupi
ipueiras,TO,-11.1378,-48.3657,Ipueiras
itacaja,TO,-8.4912,-47.6901,Itacajá
itaguatins,TO,-5.7962,-47.5923,Itaguatins
itapiratins,TO,-8.2583,-47.9867,Itapiratins
itapora do tocantins,TO,-8.4751,-48.7144,Itaporã Do Tocantins
jau do tocantins,TO,-12.7833,-48.6514,Jaú Do Tocantins
juarina,TO,-8.1297,-49.1046,Juarina
lagoa da confusao,TO,-10.9997,-49.9459,Lagoa Da Confusão
lagoa do tocantins,TO,-10.2975,-47.4847,Lagoa Do Tocantins
lajeado,TO,-9.8496,-48.3001,Lajeado
lavandeira,TO,-12.8306,-46.3631,Lavandeira
lizarda,TO,-9.4629,-46.9522,Lizarda
luzinopolis,TO,-6.2001,-47.8635,Luzinópolis
marianopolis do tocantins,TO,-9.8085,-49.7027,Marianópolis Do Tocantins
mateiros,TO,-10.5624,-46.5928,Mateiros
maurilandia do tocantins,TO,-6.0176,-47.598,Maurilândia Do Tocantins
miracema do tocantins,TO,-9.7326,-48.592,Miracema Do Tocantins
miranorte,TO,-9.3875,-48.6548,Miranorte
monte do carmo,TO,-10.7107,-48.0361,Monte Do Carmo
monte santo do tocantins,TO,-9.9895,-49.0807,Monte Santo Do Tocantins
palmeiras do tocantins,TO,-6.5904,-47.6896,Palmeiras Do Tocantins
muricilandia,TO,-6.996,-48.7675,Muricilândia
natividade,TO,-11.7521,-47.6774,Natividade
nazare,TO,-6.3339,-47.7888,Nazaré
nova olinda,TO,-7.6259,-48.3765,Nova Olinda
nova rosalandia,TO,-10.5189,-48.969,Nova Rosalândia
